zona,id_cluster,P0,P10,P20,P30,P40,Median,P60,P70,P80,P90,P100,mean,std,n_cliente
CentroSur,0,162622.56893335254,23811.06625891446,14274.472674459677,11549.35840696774,9273.399200942396,7139.586702448445,5230.9636709055285,3381.8912355218868,2282.942694150922,1416.1744875221775,55.046906994239635,12390.873569446747,21155.8695787178,136
CentroSur,1,11550.797117316244,4693.3235852227535,4021.2067646087557,3558.6729776586976,2918.98416849447,2513.19783382114,1879.3940569975805,1711.7387579619237,1479.9116578341013,1188.0830956926843,1035.4557774089863,3054.5118151150064,2361.5924327136395,20
CentroSur,2,52940.821951168204,14323.028642881682,8332.309118081452,6737.702675667281,5478.754678278341,4104.900243944125,3155.053550038479,2571.7243044896304,1805.0474827188937,1227.2306185691816,189.30964741820276,6431.181101389339,7436.2583462780885,114
CentroSur,3,35366.24043004263,11769.965584682257,7595.909842395392,6683.170182699884,5505.02156894009,3725.444282391705,3244.2205184096765,2639.630475410829,2310.4247182108293,1505.637524594125,1166.7359101382488,6409.642363845502,7406.816984002197,24
CentroSur,4,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,1.3864487903225808,,1
CentroSur,5,5296.423762139401,4998.518053258987,4700.612344378572,4402.706635498157,4104.800926617742,3806.8952177373276,3508.9895088569124,3211.0837999764976,2913.178091096083,2615.272382215668,2317.3666733352534,3806.8952177373276,2106.511469035268,2
CentroSur,6,35631.11157053341,27191.228118215437,16886.88116243721,11730.152467972348,9076.205019870391,7137.223686846774,5166.092427111749,3228.0024178093313,2573.1100302419354,1348.3634534930875,250.79999999999998,10929.015486775608,11387.505898996897,11
