zona,id_cluster,P0,P10,P20,P30,P40,Median,P60,P70,P80,P90,P100,mean,std,n_cliente
Sur,0,17574.884387189515,7639.384853343894,5741.271514443549,4897.521500891703,4267.5701305697,3290.8169930875574,2511.113640552995,2169.6259256422804,1882.2991976474655,1668.5141129032259,835.211268563364,4170.177482470664,3039.549790030284,71
Sur,1,91956.5215110023,15436.409737314056,9714.184389400922,7203.136902783409,5684.1449999999995,4206.138266129033,3311.851246543776,2333.632322868664,1986.776861751152,1528.9923739331796,181.54285714285714,7586.350805214212,11211.676635984852,197
Sur,2,70879.3940452189,11666.200828350231,7857.521670506912,6206.989881868662,5481.586658986175,3823.174819734447,3342.3964976958505,2581.2696785230414,2159.6068116359447,1047.4959047862903,97.72075841013825,7011.353284030924,11519.588446058227,41
Sur,3,13258.558687701037,4459.44834237909,3589.387497505069,3132.9905700447002,2796.0391486175113,2668.317662142569,2221.673329645161,1614.7991757703912,1114.0716921082949,958.561959677419,391.95069124423964,2831.4673072422775,2302.039722884627,32
Sur,4,948041.3637669563,45692.61149935858,23677.531018317397,17962.954678953163,11168.724022015203,7094.864336215438,4835.399663895046,2795.847728335022,1741.59282718894,544.3687446860594,0.0009600000000000001,25325.775540738963,78505.57924776505,228
Sur,5,120491.73801388248,11967.44811458629,5223.906205645161,4097.7055213133635,3229.114328269009,2564.9863090889976,1917.6394217354837,1580.2139448962555,1391.6189680299537,695.5797838216583,246.09117943548387,6806.82092445238,17542.057540721944,48
Sur,6,38467.64286226958,12131.721502752649,8646.147013315205,7445.418162321659,6792.222300403226,6385.148387096774,4807.674411708755,4025.2946401071426,3286.2574251152064,1711.6190299539169,40.11742944700461,7579.631250203963,7775.685084956252,25
Sur,7,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,1.246451612903226,,1
