zona,id_cluster,P0,P10,P20,P30,P40,Median,P60,P70,P80,P90,P100,mean,std,n_cliente
NorteChico,0,2005401.4716518288,86320.06735681134,27694.903012430877,16395.20125845679,11462.95797235023,8352.356717889976,6058.228859447004,4877.599162332949,2137.1317569124426,944.9624466938365,17.99135944700461,51901.41168304209,201252.3269087981,146
NorteChico,1,25284.098993756914,6990.9234738393425,5038.7635731112905,4078.212633812845,3552.6476232718896,3021.0689556828916,2414.8615666190085,2106.946867988998,1242.873138362557,1036.7944216589858,527.330012360023,4369.4797893351815,5292.945960466746,48
NorteChico,2,15338.043548387097,9848.057024875576,7412.811611365436,5658.412443640553,5020.905501506682,3821.7345967741935,3386.167802764977,2966.878784562212,2324.2902733607125,1666.0411064516124,485.94276497695853,5035.700700577937,3445.6784077922443,97
NorteChico,3,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,7.560483870967742e-05,,1
